"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","SchoolYear","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"78","03M076","P.S. 076 A. PHILIP RANDOLPH",2015,260,284,"51.2","32.3","13.5","3.1","16.5","2015","P.S. 076 A. Philip Randolph",520,1,"P.S. 076 A. Philip Randolph",0,1,0,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10027,40.806768,-73.951061,10,9,220,1058470,1019260017,"Central Harlem South",NA,NA,NA,NA,2
"79","03M084","P.S. 084 LILLIAN WEBER",2015,187,317,"15.5","30.5","27.3","26.7","54","2015","P.S. 084 Lillian Weber",521,2,"P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10025,40.789526,-73.967574,7,6,177,1081042,1012050006,"Upper West Side","4C","501-750",1081042,1012050006,0
"80","03M087","P.S. 087 WILLIAM SHERMAN",2015,398,341,"2.3","17.8","27.9","52","79.9","2015","P.S. 087 William Sherman",875,1,"P.S. 087 William Sherman",0,1,2,0,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10024,40.781958,-73.977638,7,6,161,1030196,1011490007,"Upper West Side",NA,NA,NA,NA,3
"81","03M145","P.S. 145, THE BLOOMINGDALE SCHOOL",2015,143,279,"57.3","32.9","9.1","0.7","9.8","2015","P.S. 145, The Bloomingdale School",391,2,"P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION",1,0,6,1,0,"3C","251-500","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10025,40.799178,-73.964842,7,7,189,1076625,1018590001,"Upper West Side","4C","501-750",1076625,1018590001,8
"82","03M149","P.S. 149 SOJOURNER TRUTH",2015,151,272,"68.2","25.2","5.3","1.3","6.6","2015","P.S. 149 Sojourner Truth",287,1,"P.S. 149 Sojourner Truth",0,2,1,1,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10026,40.802136,-73.947828,10,9,190,1051434,1016010001,"Central Harlem South",NA,NA,NA,NA,4
"83","03M163","P.S. 163 ALFRED E. SMITH",2015,305,332,"11.1","26.2","23.9","38.7","62.6","2015","P.S. 163 Alfred E. Smith",599,1,"P.S. 163 Alfred E. Smith",0,0,0,0,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10025,40.794264,-73.968706,7,7,185,1055908,1018520099,"Upper West Side",NA,NA,NA,NA,0
"84","03M165","P.S. 165 ROBERT E. SIMON",2015,471,289,"43.9","33.1","15.1","7.9","22.9","2015","P.S. 165 Robert E. Simon",831,2,"P.S. 165 Robert E. Simon |  Mott Hall II |  234 WEST 109 STREET CONSOLIDATED LOCATION",2,1,5,3,0,"5C","751-1000","0.48","2.19","3.69","1.29","1","MANHATTAN",10025,40.802917,-73.965613,7,7,195,1056676,1018800013,"Morningside Heights","6C","1001-1250",1056676,1018800013,11
"85","03M166","P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY",2015,271,340,"9.6","14","24","52.4","76.4","2015","P.S. 166 The Richard Rodgers School of The Arts an",615,1,"P.S. 166 The Richard Rodgers School of The Arts an",0,1,0,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10024,40.788865,-73.971847,7,6,173,1032308,1012190047,"Upper West Side",NA,NA,NA,NA,2
"86","03M180","P.S. 180 HUGO NEWMAN",2015,323,297,"34.7","41.5","17","6.8","23.8","2015","P.S. 180 Hugo Newman",625,1,"P.S. 180 Hugo Newman",0,1,1,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10027,40.807843,-73.955569,10,9,257,1059111,1019460001,"Central Harlem South",NA,NA,NA,NA,3
"87","03M191","P.S. 191 AMSTERDAM",2015,251,276,"61.4","27.9","8.8","2","10.8","2015","P.S. 191 Amsterdam",490,1,"P.S. 191 Amsterdam",0,3,3,2,1,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10023,40.771925,-73.987328,7,6,147,1030320,1011520029,"Lincoln Square",NA,NA,NA,NA,9
"88","03M199","P.S. 199 JESSIE ISADOR STRAUS",2015,391,343,"4.1","9","33.2","53.7","87","2015","P.S. 199 Jessie Isador Straus",889,1,"P.S. 199 Jessie Isador Straus",0,1,0,1,0,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10023,40.778059,-73.984449,7,6,155,1030351,1011580040,"Lincoln Square",NA,NA,NA,NA,2
